index,algorithm,m,time_mean,time_std
170,QuickSort,351119,0.01875599999948463,0.0
171,QuickSort,394420,0.013051399999312707,0.0
172,QuickSort,443062,0.013486599998941529,0.0
173,QuickSort,497702,0.013989999999466818,0.0
174,QuickSort,559081,0.016035599999668193,0.0
175,QuickSort,628029,0.028418500000043423,0.0
176,QuickSort,705480,0.014589100001103361,0.0
177,QuickSort,792482,0.030714100001205225,0.0
178,QuickSort,890215,0.019022999998924206,0.0
179,QuickSort,1000000,0.014120499999989988,0.0
180,QuickSort3Way,10,0.006541999999171821,0.0
181,QuickSort3Way,11,0.001274700001886231,0.0
182,QuickSort3Way,12,0.009520200001134071,0.0
183,QuickSort3Way,14,0.012754100000165636,0.0
184,QuickSort3Way,15,0.006172600000354578,0.0
185,QuickSort3Way,17,0.01646910000090429,0.0
186,QuickSort3Way,20,0.0031018999998195795,0.0
187,QuickSort3Way,22,0.003121499998087529,0.0
188,QuickSort3Way,25,0.0050241999997524545,0.0
189,QuickSort3Way,28,0.016405700001996593,0.0
190,QuickSort3Way,31,0.012113100001442945,0.0
191,QuickSort3Way,35,0.006240899998374516,0.0
192,QuickSort3Way,40,0.011166599999341997,0.0
193,QuickSort3Way,45,0.017906099999891012,0.0
194,QuickSort3Way,50,0.016547400000490597,0.0
195,QuickSort3Way,57,0.007073999999192893,0.0
196,QuickSort3Way,64,0.0070601999996142695,0.0
197,QuickSort3Way,72,0.0211873000007472,0.0
198,QuickSort3Way,81,0.014677199998914148,0.0
199,QuickSort3Way,91,0.008861300000717165,0.0
200,QuickSort3Way,102,0.006235700000615907,0.0
201,QuickSort3Way,114,0.02459420000195678,0.0
202,QuickSort3Way,129,0.009862099999736529,0.0
203,QuickSort3Way,145,0.016937200000029407,0.0
204,QuickSort3Way,162,0.018218000002889312,0.0
205,QuickSort3Way,183,0.025425300000279094,0.0
206,QuickSort3Way,205,0.015054600000439677,0.0
207,QuickSort3Way,231,0.025454799999351962,0.0
208,QuickSort3Way,259,0.02155990000028396,0.0
209,QuickSort3Way,291,0.024372999998377054,0.0
210,QuickSort3Way,327,0.01608739999937825,0.0
