algorithm,n,m,time,type
QuickSort,4641,100000,0.006258499997784384,Variazione n
QuickSort3Way,4641,100000,0.012040699999488425,Variazione n
CountingSort,4641,100000,0.01355390000026091,Variazione n
RadixSort,4641,100000,0.007498299997678259,Variazione n
QuickSort,4977,100000,0.013906499998483923,Variazione n
QuickSort3Way,4977,100000,0.02136389999941457,Variazione n
CountingSort,4977,100000,0.011187300000528921,Variazione n
RadixSort,4977,100000,0.005694600000424543,Variazione n
QuickSort,5336,100000,0.013812500001222361,Variazione n
QuickSort3Way,5336,100000,0.018115900002158014,Variazione n
CountingSort,5336,100000,0.0021797000008518808,Variazione n
RadixSort,5336,100000,3.5200000638724305e-05,Variazione n
QuickSort,5722,100000,0.017242600000827224,Variazione n
QuickSort3Way,5722,100000,0.02435659999900963,Variazione n
CountingSort,5722,100000,0.0036526000003505033,Variazione n
RadixSort,5722,100000,0.0062164999999367865,Variazione n
QuickSort,6135,100000,0.008760699998674681,Variazione n
QuickSort3Way,6135,100000,0.026146999998672982,Variazione n
CountingSort,6135,100000,0.011570999999094056,Variazione n
RadixSort,6135,100000,0.008579700001064339,Variazione n
QuickSort,6579,100000,0.0117151999984344,Variazione n
QuickSort3Way,6579,100000,0.02619589999812888,Variazione n
CountingSort,6579,100000,0.012100300000383868,Variazione n
RadixSort,6579,100000,0.0023196999991341727,Variazione n
QuickSort,7054,100000,0.021009699999922304,Variazione n
QuickSort3Way,7054,100000,0.028686699999525445,Variazione n
CountingSort,7054,100000,0.00695350000023609,Variazione n
RadixSort,7054,100000,0.003914500000973931,Variazione n
QuickSort,7564,100000,0.009988200001316727,Variazione n
QuickSort3Way,7564,100000,0.015046000000438653,Variazione n
CountingSort,7564,100000,0.005434800001239637,Variazione n
RadixSort,7564,100000,0.00911679999990156,Variazione n
QuickSort,8111,100000,0.009541999999783002,Variazione n
QuickSort3Way,8111,100000,0.013588399999207468,Variazione n
CountingSort,8111,100000,0.004364000000350643,Variazione n
RadixSort,8111,100000,0.005323299999872688,Variazione n
QuickSort,8697,100000,0.02599969999755558,Variazione n
QuickSort3Way,8697,100000,0.026128699997570948,Variazione n
CountingSort,8697,100000,0.0057300999978906475,Variazione n
RadixSort,8697,100000,0.009352799997941474,Variazione n
QuickSort,9326,100000,0.015390700000352808,Variazione n
QuickSort3Way,9326,100000,0.04434109999965585,Variazione n
CountingSort,9326,100000,0.013008499998250045,Variazione n
RadixSort,9326,100000,0.010395499999503954,Variazione n
QuickSort,9999,100000,0.02266810000037367,Variazione n
